class,stream,favorite_subject,interest,skill,overall_marks,math_score,science_score,english_score,logical_reasoning,communication_skill,creativity_score,recommended_career
12,Commerce,Business Studies,Business,Leadership,100,87,43,69,2,3,5,Business Manager
11,Science,Computer Science,Artificial Intelligence,Analysis,67,53,92,87,6,6,8,Data Scientist
11,Commerce,Economics,Finance,Mathematics,72,53,63,97,10,7,1,Chartered Accountant
11,Arts,English,Writing,Communication,81,92,84,95,10,7,7,Journalist
11,Science,Biology,Healthcare,Research,66,80,81,100,10,6,3,Doctor
12,Arts,History,Government,Leadership,81,91,78,87,8,2,6,Civil Services
12,Commerce,Accountancy,Finance,Mathematics,79,40,50,54,7,4,7,Chartered Accountant
11,Science,Computer Science,Technology,Programming,99,90,54,96,2,3,1,Data Scientist
11,Arts,English,Writing,Writing,100,78,82,65,9,4,8,Journalist
12,Arts,English,Writing,Communication,93,92,69,49,8,9,4,Journalist
12,Science,Computer Science,Programming,Problem Solving,76,45,89,70,2,3,1,Software Engineer
12,Commerce,Business Studies,Business,Communication,91,54,45,45,8,6,3,Business Manager
11,Arts,English,Writing,Writing,100,86,51,60,1,5,7,Journalist
12,Commerce,Accountancy,Finance,Mathematics,98,85,87,93,10,2,7,Chartered Accountant
12,Commerce,Business Studies,Management,Communication,81,65,74,90,1,1,7,Business Manager
12,Science,Chemistry,Healthcare,Research,97,99,40,87,9,2,2,Doctor
11,Science,Mathematics,Technology,Programming,69,87,88,66,2,3,3,Data Scientist
11,Arts,History,Writing,Writing,99,42,50,74,7,1,6,Journalist
12,Science,Computer Science,Programming,Problem Solving,90,49,92,74,10,4,8,Software Engineer
11,Commerce,Accountancy,Finance,Mathematics,93,41,64,74,4,6,7,Chartered Accountant
11,Arts,History,Government,Research,70,93,57,56,5,8,10,Civil Services
12,Arts,Political Science,Government,Research,100,58,84,83,2,8,9,Civil Services
11,Commerce,Mathematics,Finance,Mathematics,87,48,65,88,8,10,5,Financial Analyst
12,Commerce,Business Studies,Management,Communication,57,48,100,77,10,3,10,Business Manager
11,Commerce,Accountancy,Finance,Mathematics,91,88,43,78,3,3,7,Chartered Accountant
12,Arts,English,Design,Creativity,56,92,60,49,8,3,8,Graphic Designer
12,Arts,English,Design,Creativity,55,95,92,98,6,4,1,Graphic Designer
11,Science,Chemistry,Healthcare,Communication,59,91,68,42,9,3,7,Doctor
11,Science,Physics,Engineering,Problem Solving,85,82,54,100,8,4,8,Engineer
11,Science,Physics,Engineering,Mathematics,90,44,53,59,1,4,5,Engineer
11,Science,Mathematics,Programming,Problem Solving,59,60,90,93,2,1,1,Software Engineer
12,Science,Mathematics,Artificial Intelligence,Analysis,95,49,72,99,9,4,9,Data Scientist
12,Arts,History,Government,Research,67,51,89,98,4,3,2,Civil Services
11,Arts,Political Science,Government,Research,76,84,57,58,3,3,6,Civil Services
11,Science,Mathematics,Engineering,Problem Solving,62,49,46,84,7,3,6,Engineer
12,Science,Mathematics,Engineering,Problem Solving,61,85,62,89,7,4,7,Engineer
12,Arts,History,Writing,Communication,70,81,72,99,4,3,3,Journalist
11,Commerce,Economics,Finance,Mathematics,63,71,82,66,7,4,5,Chartered Accountant
12,Arts,History,Government,Research,63,41,62,81,2,10,3,Civil Services
12,Commerce,Accountancy,Finance,Mathematics,64,82,85,77,10,3,8,Chartered Accountant
12,Commerce,Accountancy,Finance,Mathematics,93,83,81,98,3,9,3,Chartered Accountant
11,Commerce,Business Studies,Business,Communication,70,89,71,55,9,8,9,Business Manager
11,Arts,Political Science,Government,Leadership,96,74,56,76,8,5,1,Civil Services
12,Science,Mathematics,Engineering,Mathematics,84,61,43,48,3,10,1,Engineer
11,Science,Mathematics,Programming,Programming,70,84,80,82,8,8,8,Software Engineer
12,Arts,Political Science,Government,Research,76,73,79,100,7,2,4,Civil Services
11,Commerce,Business Studies,Business,Communication,84,92,43,65,10,2,9,Business Manager
11,Science,Mathematics,Technology,Analysis,57,46,76,75,6,2,2,Data Scientist
11,Commerce,Economics,Finance,Mathematics,64,55,97,67,7,3,9,Chartered Accountant
12,Science,Computer Science,Artificial Intelligence,Programming,95,87,72,93,2,2,4,Data Scientist
12,Commerce,Economics,Finance,Analysis,91,92,60,66,7,1,8,Chartered Accountant
12,Commerce,Mathematics,Finance,Analysis,56,80,67,42,10,9,1,Financial Analyst
11,Science,Computer Science,Technology,Programming,82,97,100,57,8,8,9,Data Scientist
11,Arts,English,Writing,Communication,59,72,81,81,4,3,6,Journalist
12,Science,Mathematics,Programming,Programming,60,81,90,50,8,7,7,Software Engineer
11,Commerce,Accountancy,Finance,Analysis,77,43,69,88,6,5,8,Chartered Accountant
12,Arts,English,Writing,Writing,99,85,59,82,8,6,3,Journalist
11,Science,Computer Science,Programming,Programming,78,82,83,89,4,5,8,Software Engineer
12,Commerce,Economics,Finance,Mathematics,65,62,42,63,7,6,10,Chartered Accountant
11,Arts,English,Design,Creativity,98,87,52,86,9,7,8,Graphic Designer
12,Commerce,Business Studies,Management,Communication,69,82,59,65,6,6,9,Business Manager
11,Science,Computer Science,Artificial Intelligence,Analysis,72,51,94,56,8,1,1,Data Scientist
11,Commerce,Economics,Finance,Mathematics,60,41,58,45,7,8,9,Financial Analyst
12,Commerce,Economics,Finance,Analysis,89,99,66,55,1,1,3,Chartered Accountant
12,Arts,History,Writing,Writing,71,57,86,85,7,8,2,Journalist
11,Commerce,Mathematics,Finance,Mathematics,70,89,75,75,8,7,6,Financial Analyst
11,Commerce,Business Studies,Management,Leadership,77,57,69,89,1,6,3,Business Manager
11,Arts,English,Design,Creativity,55,53,41,76,3,8,5,Graphic Designer
12,Science,Computer Science,Artificial Intelligence,Analysis,58,43,95,88,9,1,7,Data Scientist
11,Science,Biology,Healthcare,Research,93,73,50,68,7,5,10,Doctor
12,Science,Computer Science,Artificial Intelligence,Programming,99,89,86,40,5,5,5,Data Scientist
11,Science,Mathematics,Technology,Programming,94,86,43,51,10,9,1,Data Scientist
11,Arts,English,Writing,Writing,75,97,69,72,9,7,10,Journalist
12,Science,Physics,Engineering,Mathematics,75,48,53,83,4,10,8,Engineer
11,Science,Mathematics,Engineering,Problem Solving,72,51,91,49,9,6,2,Engineer
11,Arts,Political Science,Government,Research,81,42,46,84,9,3,5,Civil Services
12,Science,Chemistry,Healthcare,Research,73,59,61,40,4,8,10,Doctor
12,Commerce,Economics,Finance,Analysis,72,77,99,54,7,5,1,Financial Analyst
12,Commerce,Economics,Finance,Analysis,91,97,79,64,5,7,2,Financial Analyst
12,Commerce,Business Studies,Business,Communication,76,72,95,93,5,10,9,Business Manager
11,Arts,English,Writing,Writing,98,67,62,99,9,8,6,Journalist
12,Arts,English,Design,Creativity,92,93,100,47,1,3,4,Graphic Designer
12,Commerce,Business Studies,Business,Leadership,84,100,69,63,1,7,2,Business Manager
12,Arts,Political Science,Government,Research,93,78,79,94,1,5,1,Civil Services
11,Commerce,Business Studies,Management,Communication,58,51,64,81,5,5,3,Business Manager
12,Science,Chemistry,Healthcare,Research,65,99,100,94,1,5,2,Doctor
12,Science,Mathematics,Technology,Analysis,73,62,88,75,4,10,5,Data Scientist
11,Arts,History,Writing,Communication,68,83,67,52,6,4,7,Journalist
11,Commerce,Business Studies,Business,Leadership,71,58,40,65,2,6,5,Business Manager
12,Science,Computer Science,Technology,Analysis,88,67,51,86,2,10,4,Data Scientist
11,Science,Mathematics,Technology,Programming,92,64,47,93,5,7,6,Software Engineer
12,Arts,History,Writing,Communication,79,91,98,57,5,2,3,Journalist
12,Science,Physics,Engineering,Mathematics,62,72,90,99,2,6,2,Engineer
11,Science,Mathematics,Engineering,Problem Solving,80,55,84,96,4,10,10,Engineer
11,Science,Physics,Engineering,Mathematics,85,62,45,78,7,10,9,Engineer
11,Commerce,Economics,Finance,Mathematics,94,79,63,73,9,1,3,Financial Analyst
11,Commerce,Accountancy,Finance,Analysis,64,57,84,70,10,6,2,Chartered Accountant
12,Arts,Political Science,Government,Research,61,71,77,68,3,6,3,Civil Services
11,Commerce,Economics,Finance,Mathematics,58,89,48,88,6,8,6,Financial Analyst
12,Science,Physics,Engineering,Mathematics,92,58,81,50,3,5,10,Engineer
11,Arts,History,Government,Leadership,79,47,68,88,8,6,9,Civil Services
11,Arts,English,Writing,Writing,62,90,70,55,3,6,3,Journalist
12,Science,Mathematics,Programming,Programming,65,50,99,78,6,3,4,Software Engineer
12,Science,Mathematics,Engineering,Mathematics,86,89,59,44,10,3,3,Engineer
12,Science,Mathematics,Technology,Problem Solving,75,83,47,64,3,5,9,Software Engineer
11,Science,Computer Science,Artificial Intelligence,Programming,85,40,62,93,5,10,7,Data Scientist
11,Science,Biology,Healthcare,Communication,89,93,63,95,6,9,7,Doctor
12,Commerce,Mathematics,Finance,Analysis,85,94,100,96,4,6,8,Financial Analyst
11,Commerce,Business Studies,Business,Communication,86,40,78,81,1,5,5,Business Manager
12,Arts,History,Writing,Writing,85,82,91,85,6,6,10,Journalist
12,Science,Mathematics,Engineering,Mathematics,70,62,65,73,4,3,2,Engineer
11,Commerce,Accountancy,Finance,Analysis,98,93,73,94,6,10,8,Chartered Accountant
12,Science,Mathematics,Engineering,Problem Solving,87,44,90,89,4,4,7,Engineer
11,Arts,English,Design,Creativity,86,75,76,64,8,1,7,Graphic Designer
12,Science,Computer Science,Artificial Intelligence,Programming,99,99,58,68,4,8,6,Data Scientist
11,Science,Computer Science,Artificial Intelligence,Analysis,96,60,56,93,1,3,1,Data Scientist
12,Science,Biology,Healthcare,Communication,71,65,69,97,4,9,1,Doctor
12,Arts,History,Writing,Communication,77,74,95,80,5,5,9,Journalist
12,Science,Computer Science,Technology,Programming,55,61,87,95,9,4,1,Software Engineer
11,Science,Computer Science,Technology,Analysis,93,59,82,43,9,5,10,Data Scientist
12,Arts,Political Science,Government,Research,92,54,89,46,5,2,4,Civil Services
11,Commerce,Business Studies,Business,Communication,55,73,97,47,8,2,7,Business Manager
11,Science,Chemistry,Healthcare,Research,100,54,78,65,5,7,2,Doctor
12,Science,Computer Science,Technology,Problem Solving,92,72,87,97,4,4,1,Software Engineer
12,Commerce,Economics,Finance,Mathematics,76,90,77,62,7,3,3,Chartered Accountant
11,Commerce,Business Studies,Management,Leadership,58,52,80,43,9,8,4,Business Manager
11,Commerce,Mathematics,Finance,Analysis,99,75,63,72,7,3,6,Financial Analyst
12,Commerce,Economics,Finance,Mathematics,93,64,42,62,3,6,6,Financial Analyst
12,Commerce,Business Studies,Business,Leadership,91,57,52,84,10,10,4,Business Manager
11,Arts,English,Design,Creativity,88,84,52,68,4,4,1,Graphic Designer
11,Commerce,Economics,Finance,Analysis,68,61,59,97,7,10,10,Financial Analyst
12,Arts,Political Science,Government,Leadership,56,78,87,55,2,6,4,Civil Services
12,Commerce,Mathematics,Finance,Analysis,81,91,70,77,8,10,6,Financial Analyst
12,Arts,Political Science,Government,Research,77,87,94,64,4,7,1,Civil Services
12,Arts,History,Government,Leadership,89,50,53,43,7,7,5,Civil Services
11,Science,Mathematics,Technology,Problem Solving,64,88,43,64,1,6,1,Software Engineer
11,Arts,English,Design,Creativity,77,95,52,76,8,2,7,Graphic Designer
11,Science,Mathematics,Technology,Analysis,93,93,84,62,9,5,4,Data Scientist
12,Science,Biology,Healthcare,Research,93,63,92,53,8,3,2,Doctor
11,Science,Biology,Healthcare,Communication,83,59,44,79,7,6,9,Doctor
12,Arts,History,Writing,Writing,70,70,50,44,7,9,3,Journalist
12,Arts,English,Design,Creativity,73,65,81,80,6,5,2,Graphic Designer
12,Science,Chemistry,Healthcare,Research,89,82,79,91,7,8,3,Doctor
12,Science,Mathematics,Engineering,Mathematics,90,74,80,42,10,8,9,Engineer
12,Science,Chemistry,Healthcare,Research,73,58,93,67,4,5,8,Doctor
11,Arts,Political Science,Government,Research,65,44,48,95,2,9,3,Civil Services
12,Science,Mathematics,Engineering,Mathematics,60,86,49,82,7,1,7,Engineer
11,Commerce,Economics,Finance,Analysis,90,55,87,70,10,8,1,Chartered Accountant
12,Arts,History,Government,Leadership,96,60,74,79,1,4,9,Civil Services
11,Arts,English,Design,Creativity,69,79,59,68,2,10,2,Graphic Designer
12,Commerce,Economics,Finance,Mathematics,100,70,73,45,8,2,5,Financial Analyst
12,Science,Mathematics,Programming,Programming,65,57,99,70,7,1,4,Software Engineer
12,Science,Chemistry,Healthcare,Research,88,82,85,82,2,1,9,Doctor
12,Commerce,Economics,Finance,Mathematics,99,55,80,94,4,8,10,Chartered Accountant
11,Science,Physics,Engineering,Problem Solving,84,98,41,88,1,7,4,Engineer
11,Commerce,Business Studies,Business,Communication,76,40,57,65,9,9,1,Business Manager
11,Science,Biology,Healthcare,Research,55,48,75,88,8,3,7,Doctor
12,Commerce,Business Studies,Management,Leadership,65,83,60,52,4,7,10,Business Manager
12,Arts,History,Government,Research,77,46,49,81,1,5,1,Civil Services
11,Science,Mathematics,Artificial Intelligence,Programming,67,55,51,74,5,3,4,Data Scientist
12,Commerce,Business Studies,Management,Communication,78,47,98,58,10,10,3,Business Manager
11,Commerce,Business Studies,Management,Leadership,59,42,77,71,1,9,4,Business Manager
11,Commerce,Economics,Finance,Analysis,59,99,95,49,5,7,7,Financial Analyst
12,Science,Chemistry,Healthcare,Research,58,71,62,66,9,4,7,Doctor
11,Commerce,Mathematics,Finance,Analysis,97,96,73,48,5,6,7,Financial Analyst
11,Arts,Political Science,Government,Research,56,57,52,82,1,4,3,Civil Services
12,Commerce,Business Studies,Business,Leadership,75,55,93,57,4,5,2,Business Manager
11,Commerce,Mathematics,Finance,Analysis,90,99,84,94,9,8,5,Financial Analyst
11,Commerce,Mathematics,Finance,Analysis,70,84,75,70,8,3,7,Financial Analyst
11,Science,Computer Science,Technology,Analysis,70,85,42,96,9,5,10,Data Scientist
12,Arts,English,Design,Creativity,98,41,89,88,7,6,1,Graphic Designer
11,Science,Mathematics,Technology,Programming,94,66,52,97,9,4,7,Data Scientist
12,Science,Physics,Engineering,Problem Solving,94,100,55,68,4,10,3,Engineer
11,Arts,History,Writing,Writing,61,97,88,92,5,3,7,Journalist
11,Arts,History,Government,Research,62,63,51,85,3,6,10,Civil Services
12,Commerce,Economics,Finance,Analysis,89,65,57,65,6,7,2,Chartered Accountant
12,Commerce,Economics,Finance,Mathematics,70,40,46,93,5,7,8,Chartered Accountant
11,Commerce,Economics,Finance,Analysis,76,89,84,57,5,10,1,Financial Analyst
12,Science,Computer Science,Technology,Problem Solving,75,82,55,68,2,7,4,Software Engineer
11,Arts,English,Design,Creativity,77,75,75,47,8,4,1,Graphic Designer
12,Science,Mathematics,Technology,Programming,74,56,95,41,9,3,1,Data Scientist
11,Arts,English,Design,Creativity,69,45,63,73,10,3,7,Graphic Designer
12,Arts,English,Design,Creativity,87,60,63,79,6,5,2,Graphic Designer
12,Science,Mathematics,Artificial Intelligence,Programming,65,96,59,97,3,1,1,Data Scientist
11,Commerce,Economics,Finance,Mathematics,88,62,47,87,3,2,10,Financial Analyst
12,Science,Physics,Engineering,Problem Solving,88,68,69,86,8,1,10,Engineer
12,Science,Computer Science,Technology,Programming,76,50,46,97,4,9,8,Software Engineer
11,Arts,English,Design,Creativity,68,61,51,93,2,7,4,Graphic Designer
11,Arts,English,Design,Creativity,81,81,71,46,4,10,5,Graphic Designer
11,Commerce,Business Studies,Management,Leadership,82,74,58,76,2,7,9,Business Manager
12,Science,Mathematics,Artificial Intelligence,Analysis,87,47,100,75,9,4,1,Data Scientist
11,Commerce,Business Studies,Business,Leadership,80,74,70,96,3,1,10,Business Manager
12,Science,Mathematics,Artificial Intelligence,Analysis,57,42,84,63,3,5,7,Data Scientist
12,Science,Physics,Engineering,Problem Solving,73,79,90,76,10,2,9,Engineer
12,Commerce,Business Studies,Business,Leadership,78,94,59,78,9,7,6,Business Manager
12,Science,Mathematics,Programming,Programming,86,46,50,75,6,3,4,Software Engineer
12,Commerce,Accountancy,Finance,Analysis,99,53,69,88,1,9,2,Chartered Accountant
11,Arts,Political Science,Government,Leadership,62,95,91,59,4,8,5,Civil Services
11,Arts,English,Design,Creativity,96,96,88,95,4,5,7,Graphic Designer
12,Arts,History,Government,Research,99,73,51,63,8,8,2,Civil Services
12,Science,Mathematics,Engineering,Mathematics,94,68,62,84,1,9,4,Engineer
11,Commerce,Business Studies,Management,Communication,88,45,69,73,3,2,4,Business Manager
12,Arts,English,Design,Creativity,68,97,43,72,6,1,9,Graphic Designer
11,Arts,History,Government,Research,99,72,79,76,4,7,10,Civil Services
12,Arts,Political Science,Government,Research,95,45,55,60,9,10,9,Civil Services
11,Science,Computer Science,Programming,Problem Solving,73,53,89,95,3,10,4,Software Engineer
12,Science,Biology,Healthcare,Communication,71,65,50,80,10,8,8,Doctor
11,Science,Computer Science,Technology,Programming,89,72,71,91,7,2,2,Software Engineer
12,Commerce,Accountancy,Finance,Analysis,65,97,98,59,8,1,1,Chartered Accountant
12,Science,Mathematics,Engineering,Problem Solving,93,88,63,83,6,1,10,Engineer
12,Science,Biology,Healthcare,Communication,83,44,85,55,5,1,8,Doctor
12,Arts,Political Science,Government,Leadership,56,60,77,56,9,1,9,Civil Services
12,Science,Mathematics,Artificial Intelligence,Analysis,83,45,89,92,7,10,10,Data Scientist
11,Commerce,Business Studies,Business,Communication,72,75,54,89,2,3,3,Business Manager
11,Arts,English,Design,Creativity,88,81,68,43,5,6,4,Graphic Designer
12,Commerce,Business Studies,Management,Communication,79,83,85,93,2,3,5,Business Manager
11,Commerce,Accountancy,Finance,Mathematics,96,52,67,98,2,9,8,Chartered Accountant
12,Commerce,Economics,Finance,Mathematics,78,95,69,88,3,4,8,Chartered Accountant
11,Science,Mathematics,Engineering,Mathematics,57,56,42,56,9,1,9,Engineer
11,Commerce,Economics,Finance,Analysis,64,67,69,55,6,5,2,Financial Analyst
11,Commerce,Mathematics,Finance,Mathematics,55,56,92,49,3,7,8,Financial Analyst
12,Commerce,Economics,Finance,Mathematics,99,74,90,55,10,10,10,Chartered Accountant
12,Science,Physics,Engineering,Problem Solving,83,78,86,67,4,4,2,Engineer
11,Science,Chemistry,Healthcare,Communication,95,43,52,43,10,4,1,Doctor
11,Arts,History,Government,Research,94,84,82,91,10,1,4,Civil Services
11,Arts,English,Design,Creativity,94,64,74,83,3,2,7,Graphic Designer
12,Science,Computer Science,Artificial Intelligence,Analysis,86,45,61,97,4,5,6,Data Scientist
11,Science,Computer Science,Technology,Analysis,86,85,89,100,9,10,7,Data Scientist
12,Science,Computer Science,Programming,Programming,88,98,61,83,4,3,8,Software Engineer
12,Science,Computer Science,Technology,Programming,68,97,65,58,4,7,2,Software Engineer
12,Commerce,Accountancy,Finance,Analysis,83,57,76,76,5,10,7,Chartered Accountant
12,Arts,History,Writing,Writing,87,52,43,49,8,8,5,Journalist
12,Science,Mathematics,Technology,Problem Solving,75,87,73,87,5,8,4,Software Engineer
12,Arts,English,Design,Creativity,64,44,59,77,3,4,10,Graphic Designer
12,Science,Computer Science,Programming,Problem Solving,88,79,59,71,7,2,1,Software Engineer
12,Science,Mathematics,Artificial Intelligence,Programming,81,74,56,49,1,5,3,Data Scientist
11,Commerce,Accountancy,Finance,Mathematics,58,69,78,42,2,9,7,Chartered Accountant
12,Science,Biology,Healthcare,Research,66,76,43,67,6,6,3,Doctor
12,Science,Mathematics,Engineering,Problem Solving,78,51,85,71,6,4,7,Engineer
11,Commerce,Mathematics,Finance,Analysis,96,57,53,82,8,8,1,Financial Analyst
12,Arts,Political Science,Government,Research,73,55,43,41,4,8,3,Civil Services
12,Arts,English,Writing,Communication,88,80,90,40,7,3,2,Journalist
12,Arts,History,Government,Leadership,77,78,95,46,1,5,6,Civil Services
12,Science,Chemistry,Healthcare,Research,75,53,85,76,2,9,4,Doctor
11,Commerce,Mathematics,Finance,Mathematics,65,56,50,63,5,8,3,Financial Analyst
12,Commerce,Accountancy,Finance,Mathematics,91,67,47,75,3,9,1,Chartered Accountant
12,Arts,English,Design,Creativity,57,70,80,59,3,10,5,Graphic Designer
12,Commerce,Economics,Finance,Analysis,75,99,74,79,1,6,5,Chartered Accountant
12,Arts,History,Writing,Writing,66,71,72,70,6,7,2,Journalist
12,Arts,English,Design,Creativity,71,44,70,59,2,9,5,Graphic Designer
11,Science,Chemistry,Healthcare,Research,60,93,47,84,4,6,2,Doctor
11,Science,Computer Science,Programming,Problem Solving,95,97,68,46,10,8,10,Software Engineer
12,Arts,English,Design,Creativity,81,59,42,46,7,8,2,Graphic Designer
11,Arts,Political Science,Government,Research,89,58,62,81,9,10,9,Civil Services
12,Science,Mathematics,Engineering,Mathematics,92,88,59,71,1,8,1,Engineer
11,Arts,English,Writing,Writing,69,85,70,83,1,4,2,Journalist
11,Arts,English,Writing,Writing,97,74,40,52,9,1,9,Journalist
11,Science,Mathematics,Technology,Analysis,71,49,68,48,8,5,10,Data Scientist
12,Commerce,Accountancy,Finance,Analysis,95,57,74,74,9,3,9,Chartered Accountant
11,Commerce,Business Studies,Business,Communication,71,62,84,97,2,2,10,Business Manager
12,Commerce,Mathematics,Finance,Analysis,82,60,43,53,9,1,8,Financial Analyst
11,Science,Mathematics,Engineering,Problem Solving,85,85,73,67,1,6,10,Engineer
12,Science,Physics,Engineering,Problem Solving,89,93,51,86,6,9,9,Engineer
11,Arts,Political Science,Government,Research,85,86,62,71,6,7,1,Civil Services
11,Science,Mathematics,Programming,Programming,96,55,67,87,1,4,2,Software Engineer
11,Arts,English,Design,Creativity,76,46,41,66,4,7,8,Graphic Designer
12,Commerce,Economics,Finance,Mathematics,95,66,57,86,5,7,3,Chartered Accountant
11,Science,Physics,Engineering,Mathematics,70,98,50,41,5,3,4,Engineer
12,Commerce,Economics,Finance,Mathematics,99,57,99,92,7,9,4,Financial Analyst
11,Arts,Political Science,Government,Research,77,41,98,88,8,4,1,Civil Services
11,Commerce,Business Studies,Management,Communication,75,43,67,82,9,3,10,Business Manager
12,Commerce,Mathematics,Finance,Mathematics,91,45,97,76,5,2,7,Financial Analyst
11,Commerce,Business Studies,Business,Communication,74,71,49,91,5,5,9,Business Manager
11,Commerce,Economics,Finance,Analysis,86,83,93,95,3,6,8,Financial Analyst
11,Science,Computer Science,Artificial Intelligence,Programming,88,89,69,72,10,8,10,Data Scientist
11,Commerce,Economics,Finance,Analysis,94,56,87,50,5,1,4,Financial Analyst
12,Science,Mathematics,Artificial Intelligence,Programming,99,54,47,71,5,3,8,Data Scientist
11,Arts,Political Science,Government,Leadership,82,60,73,53,8,10,5,Civil Services
12,Science,Biology,Healthcare,Research,58,53,58,99,9,5,10,Doctor
12,Science,Mathematics,Technology,Analysis,74,69,42,78,8,3,5,Data Scientist
11,Commerce,Economics,Finance,Analysis,56,42,57,77,3,6,7,Chartered Accountant
12,Arts,History,Writing,Writing,72,87,49,88,9,5,3,Journalist
12,Commerce,Accountancy,Finance,Analysis,79,87,55,99,4,9,5,Chartered Accountant
12,Arts,English,Design,Creativity,91,87,50,82,7,5,3,Graphic Designer
11,Science,Mathematics,Artificial Intelligence,Analysis,85,54,50,60,10,2,3,Data Scientist
12,Arts,English,Design,Creativity,98,69,92,59,3,5,2,Graphic Designer
11,Commerce,Mathematics,Finance,Analysis,63,99,52,56,5,3,8,Financial Analyst
12,Arts,English,Design,Creativity,96,73,48,45,1,9,4,Graphic Designer
12,Commerce,Accountancy,Finance,Mathematics,65,56,99,96,8,8,7,Chartered Accountant
11,Commerce,Economics,Finance,Mathematics,65,80,69,49,3,8,10,Financial Analyst
11,Science,Mathematics,Programming,Problem Solving,84,46,51,51,9,9,2,Software Engineer
11,Science,Computer Science,Programming,Problem Solving,66,90,60,54,5,1,6,Software Engineer
11,Science,Mathematics,Technology,Problem Solving,63,95,84,72,1,5,9,Software Engineer
11,Arts,History,Government,Research,62,64,82,48,5,8,9,Civil Services
12,Science,Computer Science,Programming,Problem Solving,77,67,84,73,3,4,7,Software Engineer
12,Arts,English,Design,Creativity,91,52,98,88,3,8,7,Graphic Designer
11,Arts,History,Government,Leadership,84,84,59,71,2,7,7,Civil Services
11,Commerce,Accountancy,Finance,Analysis,57,100,100,58,5,1,8,Chartered Accountant
11,Commerce,Mathematics,Finance,Analysis,80,85,75,42,8,10,10,Financial Analyst
12,Science,Computer Science,Artificial Intelligence,Programming,59,43,89,64,3,10,2,Data Scientist
12,Arts,English,Design,Creativity,70,97,81,98,7,7,6,Graphic Designer
12,Commerce,Business Studies,Business,Leadership,55,40,61,50,7,8,1,Business Manager
11,Arts,English,Writing,Communication,59,86,67,51,9,10,1,Journalist
12,Commerce,Economics,Finance,Analysis,84,85,53,99,9,10,8,Chartered Accountant
11,Commerce,Business Studies,Business,Leadership,76,97,68,44,2,1,2,Business Manager
12,Science,Chemistry,Healthcare,Communication,71,99,64,85,3,9,6,Doctor
11,Commerce,Accountancy,Finance,Analysis,100,63,94,88,5,10,1,Chartered Accountant
11,Commerce,Economics,Finance,Analysis,98,90,45,62,1,2,8,Financial Analyst
12,Arts,English,Design,Creativity,58,44,40,85,6,4,3,Graphic Designer
11,Science,Chemistry,Healthcare,Communication,97,76,48,73,8,4,9,Doctor
12,Science,Computer Science,Technology,Programming,60,86,65,89,8,5,10,Data Scientist
11,Science,Physics,Engineering,Mathematics,75,68,91,60,8,4,9,Engineer
12,Commerce,Business Studies,Business,Communication,82,60,73,84,1,4,4,Business Manager
12,Science,Mathematics,Programming,Problem Solving,100,94,75,41,3,1,7,Software Engineer
11,Arts,English,Design,Creativity,60,64,57,54,4,9,7,Graphic Designer
11,Commerce,Accountancy,Finance,Mathematics,55,93,63,94,4,2,4,Chartered Accountant
12,Commerce,Economics,Finance,Mathematics,97,79,77,84,8,6,6,Financial Analyst
12,Arts,Political Science,Government,Research,64,52,80,77,6,4,6,Civil Services
11,Arts,Political Science,Government,Leadership,55,41,87,43,10,1,1,Civil Services
11,Arts,English,Design,Creativity,98,58,47,72,3,9,2,Graphic Designer
11,Arts,History,Writing,Writing,94,88,41,98,9,8,4,Journalist
11,Arts,English,Writing,Writing,79,99,94,42,8,3,8,Journalist
12,Commerce,Business Studies,Management,Communication,82,98,59,49,8,2,9,Business Manager
12,Science,Computer Science,Programming,Programming,83,40,85,82,8,2,6,Software Engineer
11,Arts,English,Design,Creativity,85,46,53,80,8,5,2,Graphic Designer
11,Science,Mathematics,Artificial Intelligence,Analysis,55,91,55,92,2,10,1,Data Scientist
12,Science,Physics,Engineering,Mathematics,63,45,81,56,3,9,10,Engineer
12,Commerce,Accountancy,Finance,Analysis,93,98,42,44,9,5,10,Chartered Accountant
12,Science,Mathematics,Technology,Programming,88,71,88,80,1,9,3,Software Engineer
11,Commerce,Accountancy,Finance,Mathematics,77,65,89,81,6,2,2,Chartered Accountant
12,Commerce,Economics,Finance,Analysis,63,98,46,56,10,8,6,Financial Analyst
12,Arts,History,Writing,Writing,93,68,53,63,5,10,7,Journalist
12,Commerce,Economics,Finance,Mathematics,98,53,79,47,1,8,5,Chartered Accountant
12,Commerce,Business Studies,Management,Leadership,78,76,43,47,8,2,7,Business Manager
11,Arts,History,Government,Leadership,68,75,63,65,4,10,10,Civil Services
12,Science,Mathematics,Technology,Programming,83,49,71,68,7,8,3,Data Scientist
11,Science,Computer Science,Programming,Problem Solving,89,79,51,47,9,2,4,Software Engineer
12,Arts,Political Science,Government,Leadership,66,78,73,88,6,10,8,Civil Services
12,Arts,English,Design,Creativity,68,92,48,86,5,5,4,Graphic Designer
12,Commerce,Accountancy,Finance,Mathematics,61,91,81,50,5,7,9,Chartered Accountant
12,Commerce,Business Studies,Management,Leadership,56,46,65,70,4,3,3,Business Manager
12,Science,Computer Science,Technology,Programming,81,66,51,52,2,6,5,Data Scientist
12,Commerce,Mathematics,Finance,Mathematics,97,67,57,45,4,1,4,Financial Analyst
12,Commerce,Economics,Finance,Analysis,72,87,60,65,6,9,5,Chartered Accountant
